article_id,study_id,citation,citation_full,authors,title,year,journal,pub_type,email,suppl_articles,country,easting,northing,KPG_zone,site_id,soil_text_class,USDA_soil_class,FAO_soil_class,soil_comments,field_hist_descr,descr_field_history,interv_start,interv_end,last_meas_month,last_meas_year,total_months,interv_type,multiple_interv_codes,treatments,treatment_details,study_design,experimental_design,spatial_replic,temporal_replic,outcome,sampling_equip,open_closed,transp_opaque,sampling_equip_descr,quantif_method,comments,reviewer
,i,Nishina (2015),"Nishina K, Sudo S, Yagi K, Sano T, Takata Y, Obara H, Eguchi S, Oura N, Yano S, Ohkoshi S, Fujita Y, Shiratori Y, Tsuji M, Hasukawa H, Suzue Y, Yamada Y, Mizukami H, Uezono I. Multi-site monitoring for N2O emission factors of synthetic fertilizer in various soils with different redoximorphic features across Japan. Nutrient Cycling in Agroecosystems. 2015: 103; 87-99.","Nishina K, Sudo S, Yagi K, Sano T, Takata Y, Obara H, Eguchi S, Oura N, Yano S, Ohkoshi S, Fujita Y, Shiratori Y, Tsuji M, Hasukawa H, Suzue Y, Yamada Y, Mizukami H, Uezono I",Multi-site monitoring for N2O emission factors of synthetic fertilizer in various soils with different redoximorphic features across Japan,2015,Nutrient Cycling in Agroecosystems,Article,kazuya.nishina@gmail.com,,,,,Cfa,Kumamoto (KM),,,Andosols,,Yes,"All of the experimental sites
  of this study had not been applied with manure or any
  other organic materials before the beginning of this
  study.",October,2010,December,2012,27,Chemical fertiliser,,3,"For N fertilizer treatment,
  we established at least three treatment plots in each
  experimental site in each cropping period, which were
  no fertilization plots (for background N2O emission)
  used as a control, synthetic fertilizer plots, and organic
  material plots",CI,Randomized Complete Block,3 per treatment,No,N2O,,Closed,,"closed chamber
  method using a plastic chamber. The chamber bases were inserted at least 5 cm deep into soils","gas chromatograph with a 63Ni electron capture detector
  (GC-8A, Shimadzu, Kyoto)",Rough estimates of site location based off of Figure 1; no coordinates included but reference map is,CRA
,j,Nishina (2015),"Nishina K, Sudo S, Yagi K, Sano T, Takata Y, Obara H, Eguchi S, Oura N, Yano S, Ohkoshi S, Fujita Y, Shiratori Y, Tsuji M, Hasukawa H, Suzue Y, Yamada Y, Mizukami H, Uezono I. Multi-site monitoring for N2O emission factors of synthetic fertilizer in various soils with different redoximorphic features across Japan. Nutrient Cycling in Agroecosystems. 2015: 103; 87-99.","Nishina K, Sudo S, Yagi K, Sano T, Takata Y, Obara H, Eguchi S, Oura N, Yano S, Ohkoshi S, Fujita Y, Shiratori Y, Tsuji M, Hasukawa H, Suzue Y, Yamada Y, Mizukami H, Uezono I",Multi-site monitoring for N2O emission factors of synthetic fertilizer in various soils with different redoximorphic features across Japan,2015,Nutrient Cycling in Agroecosystems,Article,kazuya.nishina@gmail.com,,,,,DNC,Kagoshima (KG),,,Andosols,,Yes,"All of the experimental sites
  of this study had not been applied with manure or any
  other organic materials before the beginning of this
  study.",October,2010,November,2012,26,Chemical fertiliser,,3,"For N fertilizer treatment,
  we established at least three treatment plots in each
  experimental site in each cropping period, which were
  no fertilization plots (for background N2O emission)
  used as a control, synthetic fertilizer plots, and organic
  material plots",CI,Randomized Complete Block,3 per treatment,No,N2O,,Closed,,"closed chamber
  method using a plastic chamber. The chamber bases were inserted at least 5 cm deep into soils","gas chromatograph with a 63Ni electron capture detector
  (GC-8A, Shimadzu, Kyoto)",Rough estimates of site location based off of Figure 1; no coordinates included but reference map is,CRA
226,,Nouchi (2005),"Nouchi I, Yonemura S. CO2, NH4 and N2O fluxes from soybean and barley double-cropping in relation to tillage in Japan. Phyton. 2005: 45; 327-338.","Nouchi I, Yonemura S","CO2, NH4 and N2O fluxes from soybean and barley double-cropping in relation to tillage in Japan",2005,Phyton,Article,nouchi@niaes.affrc.go.jp; yone@niaes.affrc.go.jp,,Japan,420403,3986158,Cfa,,Clay,,Andosols,"a Typic Low-humic Andosol soil to a depth of 5 m. The soil texture and characteristics
 are as follows. Soil texture was light clay, and total-C amount was 2.91%, and Total-N was
 0.27%.",Yes,"These frame fields had previously been used to cultivate rice for 10 years as rice paddies,
 then converted to upland field and used to cultivate upland crops such as cabbage, for 5 years up to
 the previous year. Each of these fields was now divided into a conventional tillage cultivation plot
 (20 m x 10 m) and a no-tillage cultivation plot (20 m x 10 m) leaving turning areas (2 m x 10 m on
 the east side, 4 m x 10 m in the center and 4 m x 10 m for the west side) for a power tiller.",July,2001,May,2003,24,Tillage,,2,"In the conventional plow tillage plot, the chopped plant material was incorporated into
 the soil using a rotary harrow, whereas in the no-tillage cultivation plot, the crops were left on the
 soil surface. The conventional plow tillage treatment disturbed the soil to a depth of approximately
 20 cm.",CI,Split/strip plot,,Yes,"CH4, N2O, CO2",,Closed,,"CO2, CH4 and N2O fluxes were monitored in three replicates of each plot using the closed
 soil chamber method. The cylindrical chamber consisted of two parts: a foundation bottom section (diameter 21 cm; height 7 cm) made of stainless steel was inserted 3 cm into the ground over a ridge, and alid section (diameter 21 cm; height 9.5 cm), made of grey vinyl chloride plates, was attached with
 inlet and outlet tubes for air flow and a small hole to allow extra air to escape. In the CO2 measurement, it is single-unit by 3 pieces in foundation bottom section and 1 lid section. CH4 and N2O fluxes were determined in rectangular chambers (length 40 cm; width 40
 cm; height 10 cm). The chamber also consisted of two parts: a foundation bottom section (length 40
 cm, width 40 cm, height 5 cm), made of stainless steel, was inserted 3 cm into the ground over a
 ridge, and a lid section (length 40 cm, width 40 cm, height 10 cm), made of grey vinyl chloride
 plates fitted with two gas sampling ports","The concentration of CO2 (soil respiration) was continuously measured by
 means of a ventilation-type cylindrical chamber installed with automated gas sampling and analyzing equipment. The CO2 concentrations were measured by means of an infrared CO2 analyzer (Model ZRC, Fuji Electric Co. Ltd., Japan). CH4 concentrations were determined using a gas Chromatograph (GC-
 9A, Shimadzu Co., Japan) equipped with hydrogen flame ionization detectors at 100 °C using helium as the carrier gas and an integrator (Chromatopac CR-7A, Shimadzu Co., Japan). N2O
 concentrations were determined using a gas Chromatograph (GC-8A, Shimadzu Co., Japan)
 equipped with 63Ni electron capture detectors at 340 °C using argon gas containing 5% CH4 as the
 earner gas and the integrator.",,JR
227,,Nyatakawa (2012),"Nyatakawa EZ, Mays DA, Way TR, Watts DB, Torbert HA, Smith DR. Soil Carbon Dioxide Fluxes in Conventional and Conservation Tillage Corn Production Systems Receiving Poultry Litter and Inorganic Fertilizer. Journal of Sustainable Agriculture. 2012: 36(8); 873-892.","Nyatakawa EZ, Mays DA, Way TR, Watts DB, Torbert HA, Smith DR",Soil Carbon Dioxide Fluxes in Conventional and Conservation Tillage Corn Production Systems Receiving Poultry Litter and Inorganic Fertilizer,2015,Nutrient Cycling in Agroecosystems,Article,ermson.nyakatawa@aamu.edu,,USA,540139,3862138,Cfa,,Silt loam,,,"Decatur silt loam (fine, kaolinitic, thermic Rhodic Paleudult)",No,,Spring,2008,Fall,2009,24,Multiple-intervention,"Tillage, Chemical fertilizer",10,"two tillage systems: conventional tillage (CT) and
  no-tillage (NT); two N sources: PL and AN; and three fertilizer application
  methods: surface application (SA), soil incorporation (SI), and subsurface
  band application (BA) (PL only)",CI,Randomized Complete Block,4 per treatment,No,CO2,,,Opaque,"custom-built static PVC chambers
  designed in accordance with the USDA-ARS GRACEnet Chamber-based
  Trace Gas Flux Measurement Protocol (2003). The chambers consisted of
  two parts: a chamber anchor base and a vented sampling chamber head.
  The chamber bases were made from white PVC pipe, 20 cm inside diameter,
  6 mm thick, and 15 cm long. The chamber bases were driven 10 cm into the
  ground using a rectangular wooden block and a rubberized mallet, leaving
  a soil collar 5 cm above the ground.",Varian CP-3800 gas chromatograph (Varian,,CRA
228,,Oh (2006),"Oh K, Kato T, Zhong-Pei L, Fa-Yun L. Environmental Problems From Tea Cultivation in Japan and a Control Measure Using Calcium Cyanamide. Pedosphere. 2006: 16(6); 770-777.","Oh K, Kato T, Zhong-Pei L, Fa-Yun L",Environmental Problems From Tea Cultivation in Japan and a Control Measure Using Calcium Cyanamide,2006,Pedosphere,Article,zhpli@issas.ac.cn,,Japan,245108,3845151,Cfa,,Loam,,Andosols,"Soil types are mainly Humic Andosol and red-yellow soil in
  Japanese soil classification with an approximate texture composition of 50% sand, 27% silt, and 23%
  clay.",Yes,"In this
 area of about 369 km2,.tea has been grown for more than 100 years and the tea fields cover more than
 half of the arable land.",NR,1996,December,1998,36,Chemical fertiliser,,5,"five N fertilization treatments with
  two replications. The five fertilization treatments were application of nitrogen at rates of 0, 300, 600,
  900, and 1 200 kg N/ha/year",CI,Split/strip plot,2 per treatment,No,N2O,,Closed,,"N20 emission rates were measured monthly in duplicate at the surface of inter-row soil for one
  year, using the closed chamber method (Hutchinson and Livingston, 1993).","Nitrous oxide in the air
  phase of the chamber was quantified using gas chromatography",,CRA
229,,Okuda (2007),"Okuda H, Noda K, Sawamoto T, Tsuruta H, Hirabayashi T, Yonemoto JY, Yagi K. Emissions of N2O and CO2 and uptake of CH4 in soil from a satsuma mandarin orchard under mulching cultivation in Japan. Journal of the Japanese Society for Horticultural Science. 2007: 76(4); 279-287.","Okuda H, Noda K, Sawamoto T, Tsuruta H, Hirabayashi T, Yonemoto JY, Yagi K",Emissions of N2O and CO2 and uptake of CH4 in soil from a satsuma mandarin orchard under mulching cultivation in Japan,2007,Journal of the Japanese Society for Horticultural Science,Article,okudat@bio.mie-u.ac.jp,,Japan,273505,3881408,Cfa,,Loam,,Andosols,"Soil types are mainly Humic Andosol and red-yellow soil in
  Japanese soil classification with an approximate texture composition of 50% sand, 27% silt, and 23%
  clay.",Yes,"In the open orchard, satsuma mandarin trees
 (‘Silverhill’, 31 years old in 2001) were planted on a
 ridge (4 m wide) 50 cm higher than furrows at a density
 of 50 trees per 10 a.",March,2000,February,2002,20,Amendments,,2,"using non-mulching and mulching treatment with the first
  mulching performed in the autumn of 2000.",CI,Paired design,1 per treatment,No,"CH4, N2O, CO2",,Closed,,"closed chamber technique (Hutchinson and Mosier, 1981),
  using a cylindrical chamber made of non-transparent
  PVC without a base (60 cm in diameter and 15 cm in
  height). The chamber was placed on a frame base which
  was fixed in the surface soil to a depth of 3 cm throughout
  the year.","CH4 and CO2 was measured by a
  gas chromatograph equipped with FID and TCD (GC-
  9A, Shimadzu Corp., Japan) and N2O was measured by
  another gas chromatograph equipped with ECD (GC-
  14A, Shimadzu Corp.).",,CRA
230,,Oyewole (2016),"Oyewole MTO. Effect of organic amendment application rate on nitrous oxide, methane, and carbon dioxide emissions: field study and regional farmer survey. University of California Santa Barbara. 2016.",Oyewole MTO,"Effect of organic amendment application rate on nitrous oxide, methane, and carbon dioxide emissions: field study and regional farmer survey",2016,University of California Santa Barbara,Thesis,,,USA,242658,3811912,Csb,,Clay,Mollisol,,"The field study was conducted on a field of
 carrots (Daucus carota subsp. sativus), grown on a Mollisol soil during a single growing
 season. We classified the clay-rich soil as a fine, mixed, superactive, thermic, Calcic
 Haploxeroll (USDA NRCS, 1999).",Yes,"The
 farm has been used for organic food production under the same management for
 approximately 30 years",July,2014,October,2014,4,Cover crops,,4,"Compost was applied on July 16, 2014 with a spreader tractor and disced into the soil to
 ca. 20 cm in a single ca. 0.25 ha field. The field was divided in half, and compost was applied at rates of 18.2 and 9.1 Mg
 ha-1 in the high (HC) and low (LC) compost treatments which were on either half of the
 field, respectively. HC is the typical rate of application at this farm, applied once at the
 beginning of the season for most crops. Treatments were HC bed, LC bed, HC furrow, LC furrow.",CI,Paired design,1,No,"CH4, N2O, CO2",,Closed,,"Chamber bases were constructed of aluminum with lengths and widths
 of 27.5 cm and heights of 15-20 cm. They were inserted into the ground to depths of ca. 7-
 12 cm. Heights of chamber bases above the soil surface were measured immediately after
 placement and periodically thereafter to calculate headspace volume and account for
 changes in headspace volume due to soil settling. Chamber bases remained in the same
 position between most sampling events but were occasionally moved due to field machine
 operations. In that case, bases were replaced within 1 m of their original position, and were
 allowed to equilibrate for a minimum of 24 h before sampling. Chamber lids were
 constructed of aluminum with volumes of 4.4, 12.5, or 12.8 L. Water troughs sealing the
 chamber lids to chamber bases were used to isolate flux chambers from atmospheric
 conditions.","Gas analysis was performed using a Shimadzu GC-14A gas chromatograph (Nakagyoku,
 Japan) equipped with a 63Ni electron capture detector (ECD), a thermal conductivity
 detector (TCD), and a flame ionization detector (FID) for measurement of N2O, CO2, and
 CH4, respectively",,JR
231,,Pes (2011),"Pes LZ, Amado TJC, La Scala Jr. N, Bayer C, Fiorin JE. The primary sources of carbon loss during the crop-establishment period in a subtropical Oxisol under contrasting tillage systems. Soil & Tillage Research. 2011: 117; 163-171.","Pes LZ, Amado TJC, La Scala Jr. N, Bayer C, Fiorin JE",The primary sources of carbon loss during the crop-establishment period in a subtropical Oxisol under contrasting tillage systems,2011,Soil & Tillage Research,Article,ﬂorestatel@hotmail.com,,Brazil,239222,6833423,Cfa,,Clay,,,clay Typic Haplorthox (US Soil Taxonomy),Yes,"The experiment was initiated in 1985 in a wheat and soybean
 cropland that was previously subjected to poor soil management
 characterized by intensive soil disturbance, low C input, the
 burning of crop residues, the presence of rill erosion, soil organicmatter
 depletion, and evidence of soil degradation. This long-term
 study is one of the oldest soil management experiments in
 southern Brazil. The end of the 1980s was a period of the largescale
 adoption of NT by farmers in this region of Brazil.",NR,1985,October,2007,274,Tillage,,2,"two tillage systems, conventional tillage (CT) and no-till (NT)",CI,Split/strip plot,3 per treatment,Yes,CO2,,Closed,,"The soil chamber consisted of a closed system with an internal volume of
 991 cm3 and a soil-contact area of 71.6 cm2. During the CO2–C
 measurements, the chamber was positioned on a PVC collar
 installed in the soil.","infrared gas analyzer (IRGA) system coupled to a closed-chamber system
 (Soil CO2 Flux systems + Chamber 6400-09, Licor, NE, USA).",,CRA
232,a,Peyrard (2017),"Peyrard C, Ferchaud F, Mary B, Gréhan E, Léonard J. Management practices of Miscanthus x giganteus strongly influence soil properties and N2O emissions over the long term. Bioenergy Research. 2017: 10; 208-24.","Peyrard C, Ferchaud F, Mary B, Gréhan E, Léonard J",Management practices of Miscanthus x giganteus strongly influence soil properties and N2O emissions over the long term,2017,Bioenergy Research,Article,peyrard.ce@gmail.com,,France,500934,5524399,Cfb,,Silt loam,,Luvisols,"The soil is a deep loamy Haplic Luvisol (FAO classification),
 containing 18 % clay, 77 % silt and 5 % sand.",Yes,"The field experiment
 was set up in 2006 to compare the production and the environmental
 impacts of different bioenergy crops including
 M. giganteus [5, 8]. In this study, we focused only on six plots
 (two treatments distributed in three blocks) of M. giganteus.
 The two treatments were early harvest (EH) with an autumn
 harvest in October and late harvest (LH) with a winter harvest
 in February. The crop (M. giganteus Greef & Deuter ex
 Hodkinson & Renvoize) was planted in April 2006 at the
 density of 1.5 rhizomes m_2. It was not harvested on the first
 year because of the low biomass production, the aboveground
 biomass being cut and left on soil surface. The harvests started
 in 2007, with the whole plots being harvested every year with
 a silage harvester. M. giganteus was fertilised each year since
 2007 with a urea ammonium nitrate solution applied in late
 April (120 kg N ha_1 year_1). The crop was not irrigated.",April,2014,August,2014,5,Multiple-intervention,"Chemical fertilizer, other (harvest date)",4,"The two treatments were early harvest (EH) with an autumn
 harvest in October and late harvest (LH) with a winter harvest
 in February. A specific experiment was carried out as a 2x2 factorial
 design, with harvest date and fertiliser form as the two
 studied factors. For this purpose, subplots in EH (early harvest) and LH (late harvest)
 plots were fertilised either with ammonium sulphate (EHNH4
 and LH-NH4) or with potassium nitrate (EH-NO3 and
 LH-NO3).",CI,Randomized Complete Block,1,No,"N2O, CO2",,,,"each experimental unit was equipped with three automatic
 chambers (0.70 _ 0.40 m or 0.70 _ 0.23 m) which allowed a
 quasi-continuous monitoring of N2O fluxes (four times per
 day). The chambers were inserted 8–10 cm into the soil and
 placed in the inter-row, because the limited resulting headspace
 height (about 20–22 cm) did not allow for the growth
 of M. giganteus.","Every 6 h, the chambers were closed during
 18 min and CO2 and N2O concentrations were measured every
 10 s with two infrared gas analysers (LI-COR Biosciences
 Li720 and Thermo Instruments 46C, for the CO2 and N2O,
 respectively).","Experimental design described as factorial, no further detail",JR
,b,Peyrard (2017),"Peyrard C, Ferchaud F, Mary B, Gréhan E, Léonard J. Management practices of Miscanthus x giganteus strongly influence soil properties and N2O emissions over the long term. Bioenergy Research. 2017: 10; 208-24.","Peyrard C, Ferchaud F, Mary B, Gréhan E, Léonard J",Management practices of Miscanthus x giganteus strongly influence soil properties and N2O emissions over the long term,2017,Bioenergy Research,Article,peyrard.ce@gmail.com,,France,500934,5524399,Cfb,,Silt loam,,Luvisols,"The soil is a deep loamy Haplic Luvisol (FAO classification),
 containing 18 % clay, 77 % silt and 5 % sand.",Yes,"The field experiment
 was set up in 2006 to compare the production and the environmental
 impacts of different bioenergy crops including
 M. giganteus [5, 8]. In this study, we focused only on six plots
 (two treatments distributed in three blocks) of M. giganteus.
 The two treatments were early harvest (EH) with an autumn
 harvest in October and late harvest (LH) with a winter harvest
 in February. The crop (M. giganteus Greef & Deuter ex
 Hodkinson & Renvoize) was planted in April 2006 at the
 density of 1.5 rhizomes m_2. It was not harvested on the first
 year because of the low biomass production, the aboveground
 biomass being cut and left on soil surface. The harvests started
 in 2007, with the whole plots being harvested every year with
 a silage harvester. M. giganteus was fertilised each year since
 2007 with a urea ammonium nitrate solution applied in late
 April (120 kg N ha_1 year_1). The crop was not irrigated.",April,2015,August,2015,5,Multiple-intervention,"Chemical fertilizer, other (harvest date)",4,"The two treatments were early harvest (EH) with an autumn
 harvest in October and late harvest (LH) with a winter harvest
 in February. A specific experiment was carried out as a 2x2 factorial
 design, with harvest date and fertiliser form as the two
 studied factors. For this purpose, subplots in EH (early harvest) and LH (late harvest)
 plots were fertilised either with ammonium sulphate (EHNH4
 and LH-NH4) or with potassium nitrate (EH-NO3 and
 LH-NO3).",CI,Randomized Complete Block,1,No,"N2O, CO2",,,,"each experimental unit was equipped with three automatic
 chambers (0.70 _ 0.40 m or 0.70 _ 0.23 m) which allowed a
 quasi-continuous monitoring of N2O fluxes (four times per
 day). The chambers were inserted 8–10 cm into the soil and
 placed in the inter-row, because the limited resulting headspace
 height (about 20–22 cm) did not allow for the growth
 of M. giganteus.","Every 6 h, the chambers were closed during
 18 min and CO2 and N2O concentrations were measured every
 10 s with two infrared gas analysers (LI-COR Biosciences
 Li720 and Thermo Instruments 46C, for the CO2 and N2O,
 respectively).","Experimental design described as factorial, no further detail",JR
233,,Pfab (2011),"Pfab H, Palmer I, Buegger F, Fiedler S, Muller T, Ruser R. N2O fluxes from a Haplic Luvisol under intensive production of lettuce and cauliflower as affected by different N-fertilization strategies. Journal of Plant Nutrition and Soil Science. 2011: 174; 545-553.","Pfab H, Palmer I, Buegger F, Fiedler S, Muller T, Ruser R",Influence of a nitrification inhibitor and of placed N-fertilization on N2O fluxes from a vegetable cropped loamy soil,2011,Journal of Plant Nutrition and Soil Science,Article,Reiner.Ruser@uni-hohenheim.de,Pfab et al. 2011,Germany,513485,5395976,Cfb,,Silty clay loam,,Luvisols,"Haplic Luvisol derived from periglacial leoss. Texture consisted of 2% sand, 68% silt, and 30% clay, the initial soil pH was 5.5 and the gravel content was <1%.",No,,May,2007,April,2009,12,Chemical fertiliser,,4,"following fertilization treatments: (1) in total 528kg N ha–1 y–1, which corresponded to the amounts commonly used by farmers following good agricultural practice (GP), (2) an optimized-fertilization strategy (OPT) adopted to the plant demand using a target value of 401kg N ha–1 y–1 as recommended by Feller et al. (2001), (3) a reduced-fertilization strategy (LOW) with a further reduction by 20% to 319kg N ha–1 y–1, assuming that due to soil internal N mineralization this would not have any negative effect on yields, and (4) an unfertilizedcontrol treatment (control).",CI,Randomized Complete Block,4 per treatment,No,N2O,,Closed,Opaque,"The circular PVC chambers had an inner diameter of 30cm and consisted of a base frame with a height of 15cm and a chamber with a height of 10.5cm (Flessa et al., 1995). The base frames were inserted in the middle of each plot at a depth of 10cm","N2O in the gas samples was analyzed using a gas chromatograph (GC) equipped with a 63Ni electron-capture detector (ECD) (5890 series II, Hewlett Packard) and an autosampler (HS 40, Perkin Elmer); N2 was used as carrier gas",,CRA
234,,Pfab (2012),"Pfab H, Palmer I, Buegger F, Fiedler S, Muller T, Ruser R. Influence of a nitrification inhibitor and of placed N-fertilization on N2O fluxes from a vegetable cropped loamy soil. Agriculture, Ecosystems and Environment. 2012: 150; 91-101.","Pfab H, Palmer I, Buegger F, Fiedler S, Muller T, Ruser R",Influence of a nitrification inhibitor and of placed N-fertilization on N2O fluxes from a vegetable cropped loamy soil,2012,"Agriculture, Ecosystems and Environment",Article,Reiner.Ruser@uni-hohenheim.de,,Germany,513485,5395976,Cfb,,Silty clay loam,,Luvisols,"Haplic Luvisol derived from periglacial leoss. Texture consisted of 2% sand, 68% silt, and 30% clay, the initial soil pH was 5.5 and the gravel content was <1%.",No,,May,2008,April,2010,24,Multiple-intervention,"Chemical fertilizer, Nitrification inhibitor",4,"conventional broadcast fertilizer (ammonium sulfate nitrate), depot fertilizer wherein ammonium sulfate nitrate depots were laid out at the surface about 5 cm beside each seedling, conventional treatment (ammonium sulfate nitrate) with the addition of a nitrification inhibitor (DMPP), and a control.",CI,Randomized Complete Block,4 per treatment,No,"N2O, CO2",,Closed,Opaque,Cylindrical PVC-chambers with an inner diameter of 30cm and a height of 10.5 cm.,"gas chromatograph (GC) equipped with a 63Ni electron-capture detector (ECD) (5890 series II, Hewlett Packard) and an autosampler (HS 40, Perkin Elmer)",,CRA
235,,Pillai (2016),Pillai PR. Nitrous Oxide Emissions from Biofuel Crops and Atmospheric Aerosols: Associations with Air Quality and Regional Climate. North Carolina State Univeristy.,Pillai PR,Nitrous Oxide Emissions from Biofuel Crops and Atmospheric Aerosols: Associations with Air Quality and Regional Climate,2016,North Carolina State University,Thesis,,,USA,696273,3941745,Cfa,,Sandy loam,,,"Soils at the site are Appling sandy loam (Fine, kaolinitic, thermic Typic Kanhapludults)
 consisting of 58% sand, 26% silt, and 16% clay in corn",No,,April,2011,September,2013,30,Chemical fertiliser,,3,"treatments consisted of three N
 rates, 60, 120, and 180 kg N per ha-1 yr-1, and did not include the control treatment as zero
 Corn treatments consisted of three N
 rates, 60, 120, and 180 kg N per ha-1 yr-1, and did not include the control treatment as zero N application is not a standard practice for corn. Fertilizer was granular ammonium sulfate, (NH4)2SO4,
 and was broadcast applied by hand.",CI,Randomized Complete Block,4 per treatment,Yes,N2O,Static chamber,,,"vented static chambers following the GRACENet
 protocol (Parkin et al., 2010, Livingston and Hutchinson, 1995). Four PVC collars
 (surface area ~314 cm2; total volume ~3900 cm3; V/A ratio = 12) were permanently
 inserted randomly in the soil in each switchgrass and corn plot. The PVC collars
 facilitated a gas tight seal with an overlying PVC end cap (~13 cm long with a beveled
 edge on one end) to create the chamber.","gas chromatography
 (GC) /electron capture detection (ECD).",,CRA/JR
236,,Piva (2012),"Piva JT, Dieckow J, Bayer C, Zanatta JA, de Moraes A, Pauletti V, Tomazi M, Pergher M. No-till reduces global warming potential in a subtropical Ferralsol. Plant and Soil. 2012: 361; 359-373.","Piva JT, Dieckow J, Bayer C, Zanatta JA, de Moraes A, Pauletti V, Tomazi M, Pergher M",No-till reduces global warming potential in a subtropical Ferralsol,2012,Plant and Soil,Article,jefersondieckow@ufpr.br,,Brazil,606144,7258635,Cfb,,,,Ferralsols,clayey Umbric Ferrasol (IUSS 2006) or Latossolo Bruno (Embrapa 2006),Yes,"The area was originally under native grassland (Campos Gerais) but around 1960 (no precise record of the date is available) it was converted to annual cropland for commercial wheat and soybean cropping under CT, this management system being continued until the establishment of the experiment in 2005",September,2018,September,2009,13,Tillage,,7,"seven tillage types, of which we selected conventional tillage (CT) and no-till (NT) plots in the soil use system where ryegrass was used only as winter cover crop. For the CT plots we applied one heavy disking operation (_15 cm deep) and two leveling disking operations (_10 cm deep) in spring to incorporate ryegrass biomass before planting maize and again in autumn before sowing ryegrass. We used a heavy disker equipped with 25 inch diameter disks that produced similar effects to ploughing (i.e., a layer cut and inversion, residue incorporation and formation of a compacted pan below the tilled layer). In southern Brazil, this CT management system based on heavy disking up to 15 cm deep represents about 70 % of the area in which soil is tilled. For the NT plots, the ryegrass cover crop was desiccated with a glyphosate-based herbicide, equivalent to adding glyphosate at the rate of 1,200 gha_1, before planting maize, the same herbicide regime being used to desiccate spontaneous weeds before sowing the ryegrass. The NT systems in this region still depend on the application of herbicide. The NT management implies no tillage operation over the years. Since treatments were based on an annual succession of oat/ maize, the cropping system and farm operations were repeated every other year for each treatment.",CI,Split/strip plot,4 per treatment,No,"CH4, N2O",Static chamber,,Opaque,Static PVC chambers (Mosier 1989; Parkin et al. 2003) 20 cm high and 25 cm in diameter were deployed on metal bases (collars) to collect air samples.,"Gas Chromatograph; Shimadzu 2014 Chromatograph, equipped with flame ionization detector (FID) and electron capture detector (ECD).",,CRA
237,,Piva (2014),"Piva JT, Dieckow J, Bayer C, Zanatta JA, de Moraes A, Tomazi M, Pauletti V, Barth G, Piccolo M. Soil gaseous N2O and CH4 emissions and carbon pool due to integrated crop-livestock in a subtropical Ferralsol. Agriculture, Ecosystems and Environment. 2014: 190; 87-93.","Piva JT, Dieckow J, Bayer C, Zanatta JA, de Moraes A, Tomazi M, Pauletti V, Barth G, Piccolo M",Soil gaseous N2O and CH4 emissions and carbon pool due to integrated crop-livestock in a subtropical Ferralsol,2014,"Agriculture, Ecosystems and Environment",Article,"jefersondieckow@ufpr.br, jefersondieckow@yahoo.com.br",,Brazil,604952,7257014,Cfb,,Clay,,Ferralsols,"Soil type was an Umbric Ferralsol (IUSS System) orLatossolo Bruno (Brazilian System), with clayey texture in 0–20-cm(439 g kg_1of clay, 177 g kg_1of silt and 384 g kg_1of sand)",No,,September,2008,September,2009,13,Grazing,,2,"(i) Integrated crop-livestock (CL), with annual-ryegrass (Loliummultiflorum Lam.) being grazed in three to four grazing cyclesper winter by Holstein or Jersey cows (Bos taurus). Each grazing cycle started when annual-ryegrass was 20-cm high and finished two or three days later, when annual-ryegrass was 10-cm high. The standing residue left after the last grazing cycle was desiccated with glyphosate herbicide (1200 g a.i. ha_1). In summer, maize (Zea mays L.) was cropped for silage.(ii) Continuous crop (CC), with annual-ryegrass not being grazed but used as winter cover-crop, which was desiccated with glyphosate herbicide at flowering (plants about 40 cm high).Maize was also cropped for silage in summer.",CI,Randomized Complete Block,4,No,"CH4, N2O",Static chamber,,,"Air samples were collected from static PVC chambers of 20-cmheight and 25-cm diameter deployed on aluminium-bases (threebases and chambers per plot) previously installed in a delimitedmini-plot of 2.4-m _ 2.4-m inside plots of CC and CL. Bases wereinserted 5 cm into the soil 48 h before the first sampling and keptcontinuously, except for sowing and silage harvesting. During thetwo or three days of each grazing, a metal cage was used to avoid the approximation of cows and urination and defecation into the mini-plots. Ryegrass plants in the mini-plots were cut to 10-cmhigh as to simulate grazing.","Samples were analyzed within 24–36 hafter sampling, in a Shimadzu 2014 Chromatograph equipped with flame ionization detector (FID) and electron capture detector (ECD).",,JR
